"Movie","Budget (thousands of $)","Domestic Box Office Revenue (thousands of $)","International Box Office Revenue (thousands of $)","MPAA Rating","Running time","Franchise","Original source","Genre","Production method","Type","Production companies","Production country","Languages","Distributor","Release year"
"Bluff Master",NA,719,2566.2,"Not Rated",NA,NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction",NA,"United States","English","UTV Communications",2005
"Boat Trip",15000,8586.4,6347.3,"R for strong sexual content, language and some drug material",NA,NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction",NA,"United States","English","Artisan",2003
"Bomb the System",NA,14.9,NA,"R for pervasive language, drug use, some violence and sexuality/nudity",NA,NA,"Original Screenplay","Drama","Live Action",NA,NA,"United States","English","Palm Pictures",2005
"Book of Shadows: Blair Witch 2",15000,26421.3,21300,"R for violence, language, sexuality and drug use",NA,"Blair Witch Project","Original Screenplay","Horror","Live Action","Contemporary Fiction",NA,"United States","English","Artisan",2000
"Boy Culture",NA,220.4,NA,"Not Rated",NA,NA,"Fiction Book/Short Story","Drama","Live Action","Contemporary Fiction",NA,"United States","English","TLA Releasing",2007
"Boynton Beach Club",2900,3127.5,NA,"R for some sexual content, nudity and brief drug use",NA,NA,"Original Screenplay","Romantic Comedy","Live Action","Contemporary Fiction",NA,"United States","English","Wingate Distribution",2006
"Boys Life 3",NA,208.1,NA,"Not Rated",NA,"Boys Life",NA,"Drama","Live Action",NA,NA,"United States","English","Strand",2000
"Breakfast on Pluto",NA,828.7,NA,"R for sexuality, language, some violence and drug use",NA,NA,"Fiction Book/Short Story","Drama","Live Action","Historical Fiction",NA,"United States","English","Sony Pictures Classics",2005
"Bride & Prejudice",7000,6601.1,18668,"PG-13 for some sexual references.",NA,NA,"Fiction Book/Short Story","Musical","Live Action","Contemporary Fiction",NA,"United States","English","Miramax",2005
"Broken English",NA,956.9,987.2,"PG-13 for some sexual content, brief drug use and language.",NA,NA,"Original Screenplay","Romantic Comedy","Live Action","Contemporary Fiction",NA,"United States","English","Magnolia Pictures",2007
"Brooklyn Lobster",NA,138.3,NA,"R for language",NA,NA,"Original Screenplay","Drama","Live Action",NA,NA,"United States","English","Meadowbrook",2005
"Brown Sugar",8000,27362.7,952.6,"PG-13 for sexual content and language",NA,NA,"Original Screenplay","Romantic Comedy","Live Action","Contemporary Fiction",NA,"United States","English","20th Century Fox",2002
"Bubble",1600,145.4,NA,"R for some language.",NA,NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction","Section Eight","United States","English","Magnolia Pictures",2006
"Bubble Boy",13000,5002.3,NA,"PG-13 for language and crude sexual humor",NA,NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction",NA,"United States","English","Walt Disney",2001
"Bunty Aur Babli",NA,932.5,6943.5,"Not Rated",NA,NA,"Original Screenplay","Adventure","Live Action","Contemporary Fiction",NA,"United States","English","Yash Raj Films",2005
"Burma VJ",NA,51.7,NA,"Not Rated",NA,NA,NA,NA,NA,NA,NA,"United States","English","Oscilloscope Pictures",2009
"CSA: The Confederate States of America",NA,672.2,51.9,"PG-13 for strong thematic material involving racial issues, language and disturbing images",NA,NA,NA,"Comedy","Live Action","Science Fiction",NA,"United States","English","IFC Films",2005
"CSNY: Déjà Vu",NA,65,105.2,"R for some language and brief war images.",NA,NA,"Real Life Events","Documentary","Live Action","Factual",NA,"United States","English","Roadside Attractions",2008
"Call of the Wild 3D",NA,28.7,NA,"PG PG for some violence, language, thematic material, and brief smoking.",NA,NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"United States","English","Vivendi Entertainment",2009
"Callas Forever",NA,446,5327.1,"Not Rated",NA,NA,"Real Life Events","Drama","Live Action","Dramatization",NA,"United States","English","Regent Releasing",2004
"Carlos Castaneda: Enigma of a Sorcerer",NA,96.6,0.8,"Not Rated",NA,NA,"Real Life Events","Documentary","Live Action","Factual",NA,"United States","English","Indican Pictures",2004
"Carman: The Champion",NA,1743.9,NA,"PG-13 for street and ring violence, and for drug content",NA,NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"United States","English","8X Entertainment",2001
"Catch a Fire",14000,4299.8,1482.4,"PG-13 for thematic material involving torture and abuse, violence and brief language.",NA,NA,"Real Life Events","Thriller","Live Action","Dramatization","Working Title Films","United States","English","Focus Features",2006
"Caterina in the Big City",NA,295.5,NA,"Not Rated",NA,NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"United States","English","Empire Pictures",2005
"Catfish in Black Bean Sauce",NA,1315.6,NA,"PG-13 for brief strong language and sexual content",NA,NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction",NA,"United States","English","Phaedra Cinema",2000
"Cave of the Yellow Dog",NA,141.8,NA,"G",NA,NA,NA,"Thriller",NA,NA,NA,"United States","English","Tartan Films",2006
"Cavite",7,70.1,1.6,"Not Rated",NA,NA,"Original Screenplay","Thriller","Live Action","Contemporary Fiction",NA,"United States","English","Truly Indie",2006
"Chalk",NA,302.8,NA,"PG-13 for some language",NA,NA,NA,"Thriller",NA,NA,NA,"United States","English","Arts Alliance America",2007
"Changing Times",NA,545.3,3558.9,"Not Rated","90 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"United States","English","Koch Lorber Films",2006
"Chelsea on the Rocks",NA,11.8,NA,"R For language, drug content, some sexual material and brief violence",NA,NA,"Real Life Events","Documentary","Live Action","Factual",NA,"United States","English","Aliquot Films",2009
"Cherry Blossoms",NA,104.4,NA,"Not Rated",NA,NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"United States","English","Strand",2009
"Chicago 10",NA,176.5,NA,"R for language and brief sexual images",NA,NA,"Real Life Events","Documentary","Live Action","Factual","River Road Entertainment, Participant Media","United States","English","Roadside Attractions",2008
"Chrystal",NA,80.7,NA,"R for sexuality, nudity, drug content, violence and language",NA,NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"United States","English","First Look",2005
"Chunhyang",NA,798.2,NA,"R for some sexuality. ",NA,NA,"Original Screenplay","Drama","Live Action","Historical Fiction",NA,"United States","English","Lot 47 Films",2000
"Civic Duty",NA,96,NA,"R for language and some threatening situations.",NA,NA,"Original Screenplay","Thriller","Live Action","Contemporary Fiction",NA,"United States","English","Freestyle Releasing",2007
"Clean",10,138.7,NA,"R for drug content, language and brief nudity.","90 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"United States","English","Palm Pictures",2006
"Clockstoppers",26000,36985.5,1803.3,"PG for action violence and mild language",NA,NA,"Original Screenplay","Adventure","Live Action","Science Fiction","Nickelodeon Films","United States","English","Paramount Pictures",2002
"Cloud 9",NA,91.7,NA,"Not Rated",NA,NA,NA,"Thriller",NA,NA,NA,"United States","English","",2009
"Cocaine Cowboys",NA,163,NA,"R for pervasive drug content, gruesome violent images, and language",NA,NA,"Real Life Events","Documentary","Live Action","Factual",NA,"United States","English","Magnolia Pictures",2006
"Coeurs",NA,134.2,NA,"Not Rated",NA,NA,"Play","Drama","Live Action","Contemporary Fiction",NA,"United States","English","IFC First Take",2007
"Come Away Home",NA,72.8,NA,"PG for mild thematic elements and brief language. ",NA,NA,"Original Screenplay","Drama","Live Action",NA,NA,"United States","English","Freestyle Releasing",2005
"Confetti",NA,228.5,4506.7,"R for nudity and language",NA,NA,"Original Screenplay","Romantic Comedy","Live Action","Contemporary Fiction",NA,"United States","English","Fox Searchlight",2006
"Constantine's Sword",NA,179.5,NA,"Not Rated",NA,NA,"Original Screenplay","Documentary","Live Action","Factual",NA,"United States","English","First Run Features",2008
"Constellation",NA,306.5,NA,"PG-13 for brief strong language and a sexual reference",NA,NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"United States","English","The Bigger Picture",2007
"Copying Beethoven",11000,356,6230.4,"PG-13 for some sexual elements.",NA,NA,"Real Life Events","Drama","Live Action","Dramatization",NA,"United States","English","MGM",2006
"Crazy Love",NA,301,NA,"PG-13 for language including sexual references, and mature thematic elements",NA,NA,"Real Life Events","Documentary","Live Action","Factual",NA,"United States","English","Magnolia Pictures",2007
"Cronicas",NA,299.3,NA,"R for violence, a scene of sexuality, and language.",NA,NA,"Original Screenplay","Drama","Live Action",NA,NA,"United States","English","Palm Pictures",2005
"Crossover",5600,7009.7,NA,"PG-13 for sexual content and some language.",NA,NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"United States","English","Sony Pictures",2006
"Crutch",NA,14.2,NA,"Not Rated",NA,NA,"Real Life Events","Drama","Live Action","Dramatization",NA,"United States","English","Illuminare",2004
"Cut Sleeve Boys",NA,13.9,NA,"R for strong sexual content, drug use and language",NA,NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction",NA,"United States","English","Regent Releasing",2007
"Dancer in the Dark",12500,4157.5,41400,"R for some violence",NA,NA,"Original Screenplay","Musical","Live Action","Contemporary Fiction",NA,"United States","English","Fine Line",2000
"Dans Paris",NA,63,NA,"Not Rated",NA,NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"United States","English","IFC First Take",2007
"Dark Blue",15000,9237.5,3024.6,"R for violence, language and brief sexuality",NA,NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"United States","English","MGM",2003
"Dark Days",NA,435.5,NA,"Not Rated",NA,NA,NA,"Thriller",NA,NA,NA,"United States","English","",2000
"Darshan, The Embrace",NA,66,NA,"Not Rated",NA,NA,NA,"Thriller",NA,NA,NA,"United States","English","IFC First Take",2006
"David & Layla",NA,120.8,NA,"R  for sexual content, some language and brief drug material",NA,NA,"Original Screenplay","Romantic Comedy","Live Action","Contemporary Fiction",NA,"United States","English","Newroz Films",2007
"Day Night Day Night",NA,31.8,4.4,"Not Rated",NA,NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"United States","English","IFC Films",2007
"Day Zero",NA,16.7,NA,"R for language, sexual content, some violence and drug use",NA,NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"United States","English","First Look",2008
"Days and Clouds",NA,112.1,NA,"Not Rated",NA,NA,"Original Screenplay","Thriller","Live Action","Contemporary Fiction",NA,"United States","English","Film Movement",2008
"Dead Man's Shoes",1125,6.4,408.3,"Not Rated","90 minutes",NA,"Original Screenplay","Horror","Live Action","Contemporary Fiction",NA,"United States","English","Magnolia Pictures",2006
"Deal",NA,61.626,NA,"PG-13 for language, sexual content and brief drug use.",NA,NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"United States","English","MGM",2008
"Dear Frankie",4600,1340.9,1758.5,"PG-13 for language.",NA,NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"United States","English","Miramax",2005
"Dear Wendy",8000,23.1,423.3,"Not Rated",NA,NA,"Original Screenplay","Drama","Live Action",NA,NA,"United States","English","WellSpring",2005
"Death to Smoochy",50000,8355.8,18.2,"R for language and sexual references",NA,NA,"Original Screenplay","Dark Comedy","Live Action","Contemporary Fiction",NA,"United States","English","Warner Bros.",2002
"Dedication",NA,91.2,NA,"R for language and some sexual content",NA,NA,"Original Screenplay","Romantic Comedy","Live Action","Contemporary Fiction",NA,"United States","English","Weinstein/Dimension",2007
"Deep Blue",NA,132.3,19200,"G",NA,NA,"Real Life Events","Documentary","Live Action","Factual",NA,"United States","English","Miramax",2004
"Deep Water",NA,271.1,465.6,"PG for thematic elements, mild language and incidental smoking.",NA,NA,"Real Life Events","Documentary","Live Action","Factual",NA,"United States","English","IFC Films",2007
"Deliver Us From Evil",NA,201.3,NA,"Not Rated",NA,NA,"Real Life Events","Documentary","Live Action","Factual",NA,"United States","English","Lionsgate",2006
"Deuces Wild",10000,6044.6,200,"R",NA,NA,"Original Screenplay","Drama","Live Action","Historical Fiction",NA,"United States","English","MGM",2002
"Digimon: The Movie",5000,9628.8,7000,"PG for action violence.",NA,NA,"TV","Adventure","Hand Animation","Kids Fiction",NA,"United States","English","20th Century Fox",2000
"Dominion: Prequel to the Exorcist",NA,251.5,NA,"R for strong violence and disturbing images",NA,"Exorcist","Fiction Book/Short Story","Horror","Live Action","Fantasy",NA,"United States","English","Warner Bros.",2005
"Domino",50000,10169.2,13404.9,"R for strong violence, pervasive language, sexual content/nudity and drug use",NA,NA,"Real Life Events","Action","Live Action","Dramatization",NA,"United States","English","New Line",2005
"Don McKay",6000,13.722,NA,"R for language and some violence",NA,NA,NA,"Thriller",NA,NA,NA,"United States","English","",2010
"Don't Come Knocking",NA,440.8,4192.6,"R for language and brief nudity.",NA,NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"United States","English","Sony Pictures Classics",2006
"Dorian Blues",NA,71.5,NA,"Not Rated",NA,NA,"Original Screenplay","Comedy","Live Action",NA,NA,"United States","English","TLA Releasing",2005
"Dot the I",NA,306.2,1062.7,"R for strong sexuality/nudity, language and some violence",NA,NA,"Original Screenplay","Drama","Live Action",NA,NA,"United States","English","Freestyle Releasing",2005
"Down to You",9000,20035.3,NA,"PG-13 for mature thematic material, sexual content, language, drug and alcohol use",NA,NA,"Original Screenplay","Romantic Comedy","Live Action","Contemporary Fiction",NA,"United States","English","Miramax",2000
"Dr. T and the Women",NA,13065.6,9731.2,"R for graphic nudity and some sexuality",NA,NA,"Original Screenplay","Romantic Comedy","Live Action","Contemporary Fiction",NA,"United States","English","Artisan",2000
"Drawing Restraint 9",NA,234.7,9,"Not Rated",NA,NA,"Original Screenplay","Drama","Live Action","Fantasy",NA,"United States","English","IFC Films",2006
"Drive Me Crazy",8000,17843.4,4748.1,"PG-13 for teen alcohol and drug use, and for language",NA,NA,"Fiction Book/Short Story","Comedy","Live Action","Contemporary Fiction",NA,"United States","English","20th Century Fox",1999
"Drivers Wanted",NA,25.2,NA,"Not Rated",NA,NA,NA,"Comedy","Live Action",NA,NA,"United States","English","Indican Pictures",2005
"Driving Lessons",4700,240,NA,"PG-13 for language, sexual content and some thematic material",NA,NA,NA,"Thriller",NA,NA,NA,"United States","English","Sony Pictures Classics",2006
"Drowning Mona",16000,15427.2,553.2,"PG-13 for some thematic elements, language and brief sexuality",NA,NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction","Jersey Shore","United States","English","Destination Films",2000
"Duets",16000,4734.2,1881.2,"R for language and some sexuality.",NA,NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"United States","English","Walt Disney",2000
"Duma",12000,870.1,124.7,"PG for mild adventure peril. ",NA,NA,"Fiction Book/Short Story","Adventure","Live Action",NA,NA,"United States","English","Warner Bros.",2005
"Dungeons and Dragons",35000,15185.2,18586.7,"PG-13 for fantasy action violence",NA,"Dungeons & Dragons","Game","Adventure","Live Action","Fantasy","Silver Pictures","United States","English","New Line",2000
"Dust to Glory",NA,640,NA,"PG for racing action and peril, and for some language",NA,NA,"Real Life Events","Documentary","Live Action","Factual",NA,"United States","English","IFC Films",2005
"Earth",NA,529,NA,"Not Rated",NA,"Fire Earth Water","Fiction Book/Short Story","Drama","Live Action","Historical Fiction",NA,"United States","English","Zeitgeist",1999
"Edmond",10000,131.7,110,"R for violence, strong language, and sexual content including nudity and dialogue.",NA,NA,"Play","Dark Comedy","Live Action","Contemporary Fiction",NA,"United States","English","First Independent Pictures",2006
"Eight Legged Freaks",30000,17266.5,19455.8,"PG-13 for sci-fi violence, brief sexuality and language",NA,NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction","Village Roadshow Productions, Centropolis Entertainment","United States","English","Warner Bros.",2002
"El Crimen Perfecto",NA,418.8,NA,"Not Rated",NA,NA,NA,"Dark Comedy","Live Action",NA,NA,"United States","English","Vitagraph Films",2005
"Electric Shadows",NA,7.1,NA,"Not Rated",NA,NA,NA,NA,NA,NA,NA,"United States","English","First Run Features",2005
"End of the Spear",10000,11748.7,175.4,"PG-13 for intense sequences of violence",NA,NA,"Original Screenplay","Drama","Live Action","Historical Fiction",NA,"United States","English","M Power Releasing",2006
"Enough",38000,39177.2,11793.4,"PG-13 for intense scenes of domestic violence, some sensuality and language",NA,NA,"Original Screenplay","Thriller","Live Action","Contemporary Fiction",NA,"United States","English","Sony Pictures",2002
"Equilibrium",20000,1190,4155.9,"R for violence","107 minutes",NA,"Original Screenplay","Action","Live Action","Science Fiction",NA,"United States","English","Miramax/Dimension",2002
"Eternal",NA,28.1,NA,"R for strong sexual content, violence and language",NA,NA,NA,"Drama","Live Action",NA,NA,"United States","English","Regent Releasing",2005
"Everything is Illuminated",NA,1705.6,383.4,"PG-13 for disturbing images/violence, sexual content and language.",NA,NA,"Fiction Book/Short Story","Drama","Live Action","Contemporary Fiction",NA,"United States","English","Warner Independent",2005
"Examined Life",NA,120.7,NA,"Not Rated",NA,NA,"Real Life Events","Documentary","Live Action","Factual",NA,"United States","English","Zeitgeist",2009
"Excellent Cadavers",NA,30.3,NA,"Not Rated",NA,NA,"Real Life Events","Documentary","Live Action","Factual",NA,"United States","English","First Run/Icarus",2006
"Exiled",4500,52,NA,"Not Rated",NA,NA,"Original Screenplay","Action","Live Action","Historical Fiction",NA,"United States","English","Magnolia Pictures",2007
"Extreme Force",NA,9.5,NA,"R for violence. ",NA,NA,NA,"Thriller",NA,NA,NA,"United States","English","",2001
